Geography,Payroll_Employees: Q3 2025,Job Vacancy: Q3 2025,Net_interprovincial_migration,Delta_Immigrants,Delta_Births,Emigrants,Returning_Emigrants,Population,Expenditure_Region,Total_Expenditure,Food_Expenditure,Food_Stores_Expenditure,Food_Restaurants_Expenditure,Shelter_Expenditure,Principal_Accommodation_Expenditure,Rent_Expenditure,Owned_Home_Expenditure,Utilities_Expenditure,Other_Accommodation_Expenditure,Household_Operations_Expenditure,Communications_Expenditure,Furnishings_Expenditure,Furniture_Expenditure,Equipment_Expenditure,Appliances_Expenditure,Clothing_Expenditure,Transportation_Expenditure,Private_Transport_Expenditure,Public_Transport_Expenditure,Healthcare_Expenditure,Direct_Healthcare_Expenditure,Personal_Care_Expenditure,Recreation_Expenditure,Rec_Equipment_Expenditure,Home_Entertainment_Expenditure,Rec_Services_Expenditure,Rec_Vehicles_Expenditure,Education_Expenditure,Reading_Expenditure,Tobacco_Alcohol_Expenditure,Gambling_Expenditure,Misc_Expenditure,Language,Immigrant_Density,Job_Growth_Potential,Net_Migration_Rate,Natural_Growth_Rate,Delta_Immigrant_Per_Capita,Total_Expenditure_Scaled,Shelter_Expenditure_Scaled,Food_Expenditure_Scaled,Transportation_Expenditure_Scaled,Healthcare_Expenditure_Scaled,Education_Expenditure_Scaled,Public_Transport_Expenditure_Scaled,Delta_Immigrant_Per_Capita_Scaled,Canadian_Opportunity_Index
"Moncton-Richibucto, New Brunswick",113435,3075,-249.0,6325,2113,271.0,119.0,271885,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,Bilingual,0.05575880460175431,0.22041238944999497,-0.09158283833238318,0.6774923221214851,1.0,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,1.0,0.5828084628014805
"Capitale-Nationale, Quebec",361935,9955,374.0,7357,7271,933.0,482.0,814004,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.020326854269413015,0.23242840872160497,0.04594572016845126,0.7786202524803318,0.3620006766942142,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.3620006766942142,0.5764096000162395
"Lanaudière, Quebec",174355,5230,-41.0,1329,4633,330.0,164.0,569335,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.0076223796277709276,0.3078520918973642,-0.007201384070889722,0.7557940404155725,0.06134427310561598,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.06134427310561598,0.5730744454067069
"Northeast, British Columbia",37500,1460,-228.0,477,958,103.0,31.0,72554,British Columbia,108172,12129,8500,3601,28739,25872,6834,16607,2431,2867,6113,3557,3379,1587,1510,858,2531,12540,10291,2250,3139,2529,1953,6027,1386,286,2800,1556,2194,210,1687,98,1915,English,0.01272,0.5784164921964482,-0.3142486975218458,1.1784326157069218,0.2515093451487737,0.6727889524723296,0.9529015288508962,0.32379817242749365,0.5845206006931081,0.6160000000000005,0.9999999999999999,1.0,0.2515093451487737,0.567479466820674
Quebec,3879335,111575,-5095.0,57629,77171,15828.0,7616.0,9058297,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.014855381141355413,0.2704662274057249,-0.05624677574603704,0.6772023483001275,0.24198336093751605,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.24198336093751605,0.5485288619148623
"Kootenay, British Columbia",74215,2625,613.0,721,1252,526.0,167.0,176982,British Columbia,108172,12129,8500,3601,28739,25872,6834,16607,2431,2867,6113,3557,3379,1587,1510,858,2531,12540,10291,2250,3139,2529,1953,6027,1386,286,2800,1556,2194,210,1687,98,1915,English,0.009715017179815402,0.47054492437222517,0.34636290696228994,0.4102112079194494,0.13936185666142598,0.6727889524723296,0.9529015288508962,0.32379817242749365,0.5845206006931081,0.6160000000000005,0.9999999999999999,1.0,0.13936185666142598,0.5406981111576725
Yukon,20040,705,-221.0,826,443,33.0,30.0,48278,Canada,108225,12046,8659,3351,24671,22355,5258,14183,2914,2316,6014,3442,3390,1547,1569,795,2739,12090,10292,1799,3087,2332,1860,5231,1443,301,2578,909,1694,195,1809,192,1732,English,0.04121756487025948,0.46477560394805606,-0.45776544181614814,0.8492481047267906,0.7239866830093383,0.6746050782990096,0.6185270425776754,0.29082240762812894,0.4112437427801314,0.5120000000000005,0.5755517826825126,0.6177966101694914,0.7239866830093383,0.5237315675368845
"Fredericton-Oromocto, New Brunswick",60555,1730,-195.0,2011,1396,312.0,137.0,162910,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.033209478986045746,0.2646443548268409,-0.11969799275673686,0.6653980725553987,0.5102806935119683,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.5102806935119683,0.5222350833462952
"Chaudière-Appalaches, Quebec",203410,5455,117.0,2082,3882,220.0,128.0,458369,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.01023548498107271,0.2116243836537961,0.02552528639589501,0.7989196477074147,0.16036608599137997,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.16036608599137997,0.5148262311886143
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",37650,1000,114.0,977,698,26.0,13.0,105862,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.02594953519256308,0.20383379689100134,0.10768736657157431,0.6347886871587539,0.3705649269051052,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.3705649269051052,0.4990514867295556
